变压器资产ID,产生时间（15秒）,相别,有功电流（A）,有功功率（MW）,无功功率（MW）,负载率（%）,功率因数,开关档位
500KV-BYQ-001,2024-06-01 00:00:00,A,1256.5,457.8,87.9,70.0,0.92,3
500KV-BYQ-001,2024-06-01 00:00:00,B,1231.2,408.0,91.0,67.5,0.95,3
500KV-BYQ-001,2024-06-01 00:00:00,C,1219.6,411.6,89.2,72.5,0.94,3
500KV-BYQ-002,2024-06-01 00:00:00,A,1229.1,445.5,85.6,68.8,0.92,1
500KV-BYQ-002,2024-06-01 00:00:00,B,1234.1,418.2,88.7,71.6,0.91,1
500KV-BYQ-002,2024-06-01 00:00:00,C,1202.0,411.5,90.4,76.0,0.92,1
500KV-BYQ-003,2024-06-01 00:00:00,A,1271.8,442.0,84.3,67.2,0.93,3
500KV-BYQ-003,2024-06-01 00:00:00,B,1314.6,430.3,93.9,65.3,0.91,3
500KV-BYQ-003,2024-06-01 00:00:00,C,1237.1,444.7,89.9,72.2,0.92,3
500KV-BYQ-001,2024-06-01 00:01:00,A,1215.5,403.7,90.6,68.0,0.91,1
500KV-BYQ-001,2024-06-01 00:01:00,B,1225.7,413.3,83.8,66.0,0.9,1
500KV-BYQ-001,2024-06-01 00:01:00,C,1260.4,444.7,84.7,72.5,0.92,1
500KV-BYQ-002,2024-06-01 00:01:00,A,1307.2,432.8,91.8,65.8,0.91,1
500KV-BYQ-002,2024-06-01 00:01:00,B,1249.1,419.7,93.9,70.5,0.95,1
500KV-BYQ-002,2024-06-01 00:01:00,C,1241.9,433.6,92.7,72.2,0.94,1
500KV-BYQ-003,2024-06-01 00:01:00,A,1240.0,439.0,88.8,70.8,0.91,3
500KV-BYQ-003,2024-06-01 00:01:00,B,1229.4,435.0,90.1,69.8,0.93,3
500KV-BYQ-003,2024-06-01 00:01:00,C,1256.2,418.2,95.9,64.8,0.91,3
500KV-BYQ-001,2024-06-01 00:02:00,A,1267.6,437.6,82.1,69.3,0.95,5
500KV-BYQ-001,2024-06-01 00:02:00,B,1190.1,410.0,87.6,71.6,0.91,5
500KV-BYQ-001,2024-06-01 00:02:00,C,1225.2,413.2,84.9,74.8,0.93,5
500KV-BYQ-002,2024-06-01 00:02:00,A,1232.8,413.0,93.3,65.6,0.9,2
500KV-BYQ-002,2024-06-01 00:02:00,B,1211.5,398.3,88.9,73.4,0.91,2
500KV-BYQ-002,2024-06-01 00:02:00,C,1312.4,436.3,87.1,71.5,0.92,2
500KV-BYQ-003,2024-06-01 00:02:00,A,1217.7,430.3,82.4,67.4,0.95,3
500KV-BYQ-003,2024-06-01 00:02:00,B,1211.7,397.7,87.1,67.0,0.93,3
500KV-BYQ-003,2024-06-01 00:02:00,C,1211.5,424.2,85.0,67.9,0.94,3
500KV-BYQ-001,2024-06-01 00:03:00,A,1221.0,449.8,92.5,65.9,0.94,3
500KV-BYQ-001,2024-06-01 00:03:00,B,1221.6,443.4,89.6,73.3,0.94,3
500KV-BYQ-001,2024-06-01 00:03:00,C,1270.3,408.1,84.6,66.4,0.9,3
500KV-BYQ-002,2024-06-01 00:03:00,A,1250.5,438.1,79.7,71.9,0.93,1
500KV-BYQ-002,2024-06-01 00:03:00,B,1235.1,448.7,81.2,66.4,0.91,1
500KV-BYQ-002,2024-06-01 00:03:00,C,1247.7,422.3,90.7,69.9,0.91,1
500KV-BYQ-003,2024-06-01 00:03:00,A,1291.9,412.0,86.9,69.1,0.95,5
500KV-BYQ-003,2024-06-01 00:03:00,B,1263.2,427.1,85.2,65.5,0.92,5
500KV-BYQ-003,2024-06-01 00:03:00,C,1240.8,441.5,86.6,74.1,0.9,5
500KV-BYQ-001,2024-06-01 00:04:00,A,1272.0,404.1,89.9,71.1,0.92,4
500KV-BYQ-001,2024-06-01 00:04:00,B,1209.0,436.5,91.8,67.5,0.95,4
500KV-BYQ-001,2024-06-01 00:04:00,C,1296.1,444.3,86.4,65.5,0.94,4
500KV-BYQ-002,2024-06-01 00:04:00,A,1299.6,418.2,83.6,68.4,0.93,1
500KV-BYQ-002,2024-06-01 00:04:00,B,1198.2,442.5,94.8,72.4,0.93,1
500KV-BYQ-002,2024-06-01 00:04:00,C,1256.2,396.9,88.6,67.6,0.94,1
500KV-BYQ-003,2024-06-01 00:04:00,A,1236.2,429.9,93.2,71.9,0.93,1
500KV-BYQ-003,2024-06-01 00:04:00,B,1282.0,428.3,89.9,67.3,0.92,1
500KV-BYQ-003,2024-06-01 00:04:00,C,1307.1,420.7,82.0,74.6,0.93,1
500KV-BYQ-001,2024-06-01 00:05:00,A,1258.0,424.3,92.9,66.3,0.93,1
500KV-BYQ-001,2024-06-01 00:05:00,B,1218.8,406.3,93.3,64.6,0.94,1
500KV-BYQ-001,2024-06-01 00:05:00,C,1217.5,422.4,79.8,72.5,0.92,1
500KV-BYQ-002,2024-06-01 00:05:00,A,1292.3,437.7,91.4,67.6,0.93,5
500KV-BYQ-002,2024-06-01 00:05:00,B,1269.9,411.5,91.0,71.2,0.91,5
500KV-BYQ-002,2024-06-01 00:05:00,C,1251.2,411.2,80.9,68.8,0.93,5
500KV-BYQ-003,2024-06-01 00:05:00,A,1200.9,439.4,92.5,73.4,0.9,5
500KV-BYQ-003,2024-06-01 00:05:00,B,1194.5,397.2,86.3,69.1,0.95,5
500KV-BYQ-003,2024-06-01 00:05:00,C,1263.9,408.4,86.1,66.7,0.95,5
500KV-BYQ-001,2024-06-01 00:06:00,A,1238.5,441.1,89.7,73.4,0.91,2
500KV-BYQ-001,2024-06-01 00:06:00,B,1283.7,406.9,92.7,67.4,0.94,2
500KV-BYQ-001,2024-06-01 00:06:00,C,1244.4,417.5,86.0,71.4,0.9,2
500KV-BYQ-002,2024-06-01 00:06:00,A,1198.5,426.2,82.6,68.2,0.94,3
