变压器资产ID,产生时间（yyyy-MM-dd HH:mm:ss）,油位
500KV-BYQ-001,2024-06-01 00:00:00,459.1
500KV-BYQ-002,2024-06-01 00:00:00,442.5
500KV-BYQ-003,2024-06-01 00:00:00,414.2
500KV-BYQ-001,2024-06-01 06:00:00,459.7
500KV-BYQ-002,2024-06-01 06:00:00,446.3
500KV-BYQ-003,2024-06-01 06:00:00,416.4
500KV-BYQ-001,2024-06-01 12:00:00,461.9
500KV-BYQ-002,2024-06-01 12:00:00,450.4
500KV-BYQ-003,2024-06-01 12:00:00,420.6
500KV-BYQ-001,2024-06-01 18:00:00,462.7
500KV-BYQ-002,2024-06-01 18:00:00,452.7
500KV-BYQ-003,2024-06-01 18:00:00,421.8
500KV-BYQ-001,2024-06-02 00:00:00,459.5
500KV-BYQ-002,2024-06-02 00:00:00,454.2
500KV-BYQ-003,2024-06-02 00:00:00,418.8
500KV-BYQ-001,2024-06-02 06:00:00,455.2
500KV-BYQ-002,2024-06-02 06:00:00,453.2
500KV-BYQ-003,2024-06-02 06:00:00,420.0
500KV-BYQ-001,2024-06-02 12:00:00,451.3
500KV-BYQ-002,2024-06-02 12:00:00,457.7
500KV-BYQ-003,2024-06-02 12:00:00,422.7
500KV-BYQ-001,2024-06-02 18:00:00,446.8
500KV-BYQ-002,2024-06-02 18:00:00,453.8
500KV-BYQ-003,2024-06-02 18:00:00,423.2
500KV-BYQ-001,2024-06-03 00:00:00,443.2
500KV-BYQ-002,2024-06-03 00:00:00,454.2
500KV-BYQ-003,2024-06-03 00:00:00,425.3
500KV-BYQ-001,2024-06-03 06:00:00,438.9
500KV-BYQ-002,2024-06-03 06:00:00,456.9
500KV-BYQ-003,2024-06-03 06:00:00,423.2
500KV-BYQ-001,2024-06-03 12:00:00,437.3
500KV-BYQ-002,2024-06-03 12:00:00,455.5
500KV-BYQ-003,2024-06-03 12:00:00,420.3
500KV-BYQ-001,2024-06-03 18:00:00,440.6
500KV-BYQ-002,2024-06-03 18:00:00,458.4
500KV-BYQ-003,2024-06-03 18:00:00,423.2
500KV-BYQ-001,2024-06-04 00:00:00,440.4
500KV-BYQ-002,2024-06-04 00:00:00,459.7
500KV-BYQ-003,2024-06-04 00:00:00,424.5
500KV-BYQ-001,2024-06-04 06:00:00,443.4
500KV-BYQ-002,2024-06-04 06:00:00,463.1
500KV-BYQ-003,2024-06-04 06:00:00,423.8
500KV-BYQ-001,2024-06-04 12:00:00,440.7
500KV-BYQ-002,2024-06-04 12:00:00,462.3
500KV-BYQ-003,2024-06-04 12:00:00,424.2
500KV-BYQ-001,2024-06-04 18:00:00,444.6
500KV-BYQ-002,2024-06-04 18:00:00,458.2
500KV-BYQ-003,2024-06-04 18:00:00,426.7
500KV-BYQ-001,2024-06-05 00:00:00,443.6
500KV-BYQ-002,2024-06-05 00:00:00,462.9
