变压器资产ID,产生时间（yyyy-MM-dd HH:mm:ss）,油温点位1（℃）,油温点位2（℃）
500KV-BYQ-001,2024-06-01 00:00:00,47.2,48.7
500KV-BYQ-002,2024-06-01 00:00:00,61.7,62.7
500KV-BYQ-003,2024-06-01 00:00:00,46.7,49.6
500KV-BYQ-001,2024-06-01 01:00:00,54.0,56.3
500KV-BYQ-002,2024-06-01 01:00:00,61.6,64.3
500KV-BYQ-003,2024-06-01 01:00:00,51.0,53.7
500KV-BYQ-001,2024-06-01 02:00:00,58.6,59.9
500KV-BYQ-002,2024-06-01 02:00:00,63.4,64.4
500KV-BYQ-003,2024-06-01 02:00:00,54.6,56.5
500KV-BYQ-001,2024-06-01 03:00:00,64.4,66.9
500KV-BYQ-002,2024-06-01 03:00:00,47.9,49.4
500KV-BYQ-003,2024-06-01 03:00:00,63.8,65.7
500KV-BYQ-001,2024-06-01 04:00:00,61.7,63.2
500KV-BYQ-002,2024-06-01 04:00:00,58.7,60.6
500KV-BYQ-003,2024-06-01 04:00:00,43.2,46.0
500KV-BYQ-001,2024-06-01 05:00:00,46.1,48.9
500KV-BYQ-002,2024-06-01 05:00:00,54.1,56.9
500KV-BYQ-003,2024-06-01 05:00:00,47.8,49.6
500KV-BYQ-001,2024-06-01 06:00:00,51.9,54.7
500KV-BYQ-002,2024-06-01 06:00:00,46.3,47.5
500KV-BYQ-003,2024-06-01 06:00:00,63.6,66.4
500KV-BYQ-001,2024-06-01 07:00:00,51.3,52.4
500KV-BYQ-002,2024-06-01 07:00:00,51.8,54.6
500KV-BYQ-003,2024-06-01 07:00:00,51.5,54.0
500KV-BYQ-001,2024-06-01 08:00:00,49.9,52.5
500KV-BYQ-002,2024-06-01 08:00:00,53.7,55.8
500KV-BYQ-003,2024-06-01 08:00:00,65.8,68.6
500KV-BYQ-001,2024-06-01 09:00:00,70.7,72.8
500KV-BYQ-002,2024-06-01 09:00:00,60.8,61.9
500KV-BYQ-003,2024-06-01 09:00:00,50.3,52.4
500KV-BYQ-001,2024-06-01 10:00:00,51.6,52.9
500KV-BYQ-002,2024-06-01 10:00:00,49.8,52.6
500KV-BYQ-003,2024-06-01 10:00:00,61.6,63.1
