变压器资产ID,相位,数据时间,氢气(μL/L),甲烷(μL/L),乙烷(μL/L),乙烯(μL/L),乙炔(μL/L),一氧化碳(μL/L),二氧化碳(μL/L),总烃(μL/L),运行状态,数据质量
500KV-1号主变压器,A相,2024-06-01 00:00:00,145.04,10.88,5.5,7.31,0.29,1139.6,1933.7,22.91,注意,良好
500KV-2号主变压器,A相,2024-06-01 00:00:00,102.54,5.24,10.14,12.34,0.21,1119.2,2758.8,28.01,注意,良好
500KV-3号主变压器,A相,2024-06-01 00:00:00,121.37,8.96,26.19,5.15,0.82,1098.4,3562.0,41.23,注意,一般
500KV-1号主变压器,A相,2024-06-02 00:00:00,55.82,11.34,14.11,3.28,0.23,1295.5,2154.8,30.03,注意,良好
500KV-2号主变压器,A相,2024-06-02 00:00:00,174.72,14.07,32.3,2.35,0.7,562.7,1659.2,51.38,注意,良好
500KV-3号主变压器,A相,2024-06-02 00:00:00,215.93,8.87,3.5,3.85,0.09,1183.2,1115.3,16.11,注意,良好
500KV-1号主变压器,A相,2024-06-03 00:00:00,84.57,11.15,17.5,11.61,0.27,1466.8,932.8,41.29,注意,良好
500KV-2号主变压器,A相,2024-06-03 00:00:00,78.54,4.76,26.52,15.55,0.03,1098.6,3214.6,45.69,注意,良好
500KV-3号主变压器,A相,2024-06-03 00:00:00,20.89,8.22,7.49,5.83,0.42,658.1,3220.0,22.93,注意,良好
500KV-1号主变压器,A相,2024-06-04 00:00:00,48.61,7.58,8.52,6.81,0.19,675.6,811.4,23.11,注意,良好
500KV-2号主变压器,A相,2024-06-04 00:00:00,192.69,12.89,19.92,3.62,0.04,1018.6,2876.8,37.54,注意,差
500KV-3号主变压器,A相,2024-06-04 00:00:00,182.27,4.4,27.71,12.57,0.47,918.5,2705.0,47.02,注意,良好
500KV-1号主变压器,A相,2024-06-05 00:00:00,133.98,4.54,6.6,10.48,0.71,230.3,1368.0,22.62,注意,良好
500KV-2号主变压器,A相,2024-06-05 00:00:00,27.8,11.5,4.63,9.34,0.29,1166.6,3149.3,26.56,注意,良好
500KV-3号主变压器,A相,2024-06-05 00:00:00,201.96,6.06,10.61,2.61,0.25,1194.4,1439.8,19.64,注意,良好
500KV-1号主变压器,A相,2024-06-06 00:00:00,155.85,5.93,3.62,0.85,1.16,1141.1,2069.4,11.68,注意,良好
500KV-2号主变压器,A相,2024-06-06 00:00:00,10.0,13.57,6.11,13.81,1.14,639.7,3559.1,35.1,注意,良好
500KV-3号主变压器,A相,2024-06-06 00:00:00,161.41,7.66,23.46,10.0,1.3,1131.5,2161.8,41.04,注意,良好
500KV-1号主变压器,A相,2024-06-07 00:00:00,101.21,10.7,35.5,5.35,0.33,375.4,2739.5,54.29,注意,良好
500KV-2号主变压器,A相,2024-06-07 00:00:00,182.31,7.33,20.64,18.46,0.74,1240.1,1718.6,45.53,注意,良好
500KV-3号主变压器,A相,2024-06-07 00:00:00,90.1,4.65,2.09,5.02,0.06,749.4,2110.3,12.41,注意,良好
500KV-1号主变压器,A相,2024-06-08 00:00:00,81.47,3.15,18.06,17.17,0.04,1124.3,2037.2,40.11,注意,良好
500KV-2号主变压器,A相,2024-06-08 00:00:00,98.17,6.66,25.13,2.85,0.12,1024.6,1787.6,34.72,注意,良好
500KV-3号主变压器,A相,2024-06-08 00:00:00,94.24,12.12,9.3,10.78,1.1,487.0,2853.8,32.41,注意,良好
500KV-1号主变压器,A相,2024-06-09 00:00:00,179.6,12.72,20.5,17.63,0.34,1227.4,3772.4,52.44,注意,良好
500KV-2号主变压器,A相,2024-06-09 00:00:00,60.02,12.83,9.49,12.52,0.38,356.6,1520.5,33.52,注意,良好
500KV-3号主变压器,A相,2024-06-09 00:00:00,46.27,11.57,3.39,14.25,0.43,537.5,1140.9,30.5,注意,良好
500KV-1号主变压器,A相,2024-06-10 00:00:00,171.07,11.55,25.34,4.55,0.14,1066.7,3475.4,42.67,注意,良好
500KV-2号主变压器,A相,2024-06-10 00:00:00,62.51,13.94,7.42,16.88,0.19,198.6,1405.5,37.27,注意,良好
500KV-3号主变压器,A相,2024-06-10 00:00:00,138.72,12.87,26.4,12.65,0.98,605.8,2102.8,51.16,注意,良好
500KV-1号主变压器,A相,2024-06-11 00:00:00,238.19,6.08,25.28,20.09,0.09,1322.9,2550.9,49.5,注意,良好
